text,page,line
"own speech started to flow at last, it hid her thoughts behind a slurry hard",10,"own speech started to flow at last, it hid her thoughts behind a slurry hard"
for the uninitiated to comprehend. It didn't help that her face was sloped and,10,for the uninitiated to comprehend. it didn't help that her face was sloped and
"ursine. The neighbors' kids ran from her, this thing only borderline human.",10,"ursine. the neighbors' kids ran from her, this thing only borderline human."
Acorn people are so much more forgiving.,10,acorn people are so much more forgiving.
"  Her father alone understands her woodlands world, as he always under­",10,"  her father alone understands her woodlands world, as he always under­"
stands her every thickened word. She has a pride of place with him that the two,10,stands her every thickened word. she has a pride of place with him that the two
"boys accept. With them, Dad may throw softballs and tell bubble-gum wrapper",10,"boys accept. with them, dad may throw softballs and tell bubble-gum wrapper"
"jokes and play tag. But he reserves his best gifts for his little plant-girl, Patty.",10,"jokes and play tag. but he reserves his best gifts for his little plant-girl, patty."
"    Their closeness bothers her mother. ""I ask you. Has there ever been such",10,"    their closeness bothers her mother. ""i ask you. has there ever been such"
"a little nation of two?""",10,"a little nation of two?"""
   Bill Westerford takes Patricia with him when he visits southwestern Ohio,10,   bill westerford takes patricia with him when he visits southwestern ohio
farms on his tours as an ag extension agent. She rides copilot in the beaten­,10,farms on his tours as an ag extension agent. she rides copilot in the beaten­
"up Packard with the pine side paneling. The war is over, the world is on the",10,"up packard with the pine side paneling. the war is over, the world is on the"
"mend, the country is drunk on science, key to better living, and Bill Wester­",10,"mend, the country is drunk on science, key to better living, and bill wester­"
ford takes his daughter out to see the world.,10,ford takes his daughter out to see the world.
   Patty's mother objects to the trips. The girl should be in school. But her,10,   patty's mother objects to the trips. the girl should be in school. but her
"father's soft authority prevails. ""She won't learn more anywhere than she",10,"father's soft authority prevails. ""she won't learn more anywhere than she"
"will with me.""",10,"will with me."""
"   Mile after plowed mile, they hold their roving tutorial. He faces her so she",10,"   mile after plowed mile, they hold their roving tutorial. he faces her so she"
"can read his moving lips. She laughs at his stories -thick, slow booms-and",10,"can read his moving lips. she laughs at his stories -thick, slow booms-and"
stabs enthusiastic answers to each of his questions. Which is more numerous:,10,stabs enthusiastic answers to each of his questions. which is more numerous:
the stars in the Milky Way or the chloroplasts on a single leaf of corn? Which,10,the stars in the milky way or the chloroplasts on a single leaf of corn? which
"trees flower before they leaf, and which flower after? Why are the leaves at",10,"trees flower before they leaf, and which flower after? why are the leaves at"
the top of trees often smaller than those at the bottom? If you carved your,10,the top of trees often smaller than those at the bottom? if you carved your
"name four feet high in the bark of a beech tree, how high would it be after",10,"name four feet high in the bark of a beech tree, how high would it be after"
half a century?,10,half a century?
   She loves the answer to that last one: Fourfeet. Still four feet. Always four,10,   she loves the answer to that last one: fourfeet. still four feet. always four
"feet, however high the beech tree grows. She'll love that answer still, half a",10,"feet, however high the beech tree grows. she'll love that answer still, half a"
century later.,10,century later.
,10,
                           114 • RICHARD POWERS,11,                           114 • richard powers
,11,
,11,
"   In this way, acorn animism turns bit by bit into its offspring, botany. She",11,"   in this way, acorn animism turns bit by bit into its offspring, botany. she"
"becomes her father's star and only pupil for the simple reason that she alone,",11,"becomes her father's star and only pupil for the simple reason that she alone,"
"of all the family, sees what he knows: plants are willful and crafty and after",11,"of all the family, sees what he knows: plants are willful and crafty and after"
"something, just like people. He tells her, on their drives, about all the oblique",11,"something, just like people. he tells her, on their drives, about all the oblique"
miracles that green can devise. People have no corner on curious behavior.,11,miracles that green can devise. people have no corner on curious behavior.
"Other creatures-bigger, slower, older, more durable-call the shots, make",11,"other creatures-bigger, slower, older, more durable-call the shots, make"
"the weather, feed creation, and create the very air.",11,"the weather, feed creation, and create the very air."
"    ""It's a great idea, trees. So great that evolution keeps inventing it, again",11,"    ""it's a great idea, trees. so great that evolution keeps inventing it, again"
"and again.""",11,"and again."""
   He teaches her to tell a shellbark from a shagbark hickory. No one else at,11,   he teaches her to tell a shellbark from a shagbark hickory. no one else at
her school can even tell a hickory from a hop hornbeam. The fact strikes her,11,her school can even tell a hickory from a hop hornbeam. the fact strikes her
"as bizarre. ""Kids in my class think a black walnut looks just like a white ash.",11,"as bizarre. ""kids in my class think a black walnut looks just like a white ash."
"Are they blind?""",11,"are they blind?"""
"    ""Plant-bliµd. Adam's curse. We only see things that look like us. Sad",11,"    ""plant-bliµd. adam's curse. we only see things that look like us. sad"
"story, ain't it, kiddo?""",11,"story, ain't it, kiddo?"""
   Her father has a little trouble with Homo sapiens himself. He's caught,11,   her father has a little trouble with homo sapiens himself. he's caught
between fine folks whose family farms are failing to subdue the Earth and,11,between fine folks whose family farms are failing to subdue the earth and
companies that want to sell them the arsenal to bring about total domin­,11,companies that want to sell them the arsenal to bring about total domin­
"ion. When the frustrations of the day grow too much for him, he sighs and",11,"ion. when the frustrations of the day grow too much for him, he sighs and"
"says, for Patty's impaired ears alone, ""Ah, buy me a hillside that slopes away",11,"says, for patty's impaired ears alone, ""ah, buy me a hillside that slopes away"
"from town.""",11,"from town."""
"   They drive through a land once covered in dark beech forest. ""Best",11,"   they drive through a land once covered in dark beech forest. ""best"
"tree you could ever want to see."" Strong and wide but full of grace, flar­",11,"tree you could ever want to see."" strong and wide but full of grace, flar­"
"ing out nobly at the base, into its own plinth. Generous with nuts that feed",11,"ing out nobly at the base, into its own plinth. generous with nuts that feed"
"all comers. Its smooth, white-gray trunk more like stone than wood. The",11,"all comers. its smooth, white-gray trunk more like stone than wood. the"
"parchment-colored leaves riding out the winter-marcescent, he tells her­",11,"parchment-colored leaves riding out the winter-marcescent, he tells her­"
shining out against the neighboring bare hardwoods. Elegant with sturdy,11,shining out against the neighboring bare hardwoods. elegant with sturdy
"boughs so much like human arms, lifting upward at the tips like hands prof­",11,"boughs so much like human arms, lifting upward at the tips like hands prof­"
"fering. Hazy and pale in spring, but in autumn its flat, wide sprays bathe the",11,"fering. hazy and pale in spring, but in autumn its flat, wide sprays bathe the"
air in gold.,11,air in gold.
"   ""What happened to them?"" The girl's words thicken when sadness",11,"   ""what happened to them?"" the girl's words thicken when sadness"
weighs them down.,11,weighs them down.
"   ""We did."" She thinks she hears her father sigh, though he never takes",11,"   ""we did."" she thinks she hears her father sigh, though he never takes"
,11,
                            THE OVERSTORY       •   115,12,                            the overstory       •   115
,12,
,12,
,12,
,12,
"his eyes off the road. ""The beech told the farmer where to plow. Limestone",12,"his eyes off the road. ""the beech told the farmer where to plow. limestone"
"underneath, covered in the best, darkest loam a field could want.""",12,"underneath, covered in the best, darkest loam a field could want."""
"   They drive from farm to farm, between last year's blights and next year's",12,"   they drive from farm to farm, between last year's blights and next year's"
vanishing topsoil. He shows her extraordinary things: the spreading cam­,12,vanishing topsoil. he shows her extraordinary things: the spreading cam­
bium of a sycamore that swallowed up the crossbar of an old Schwinn some­,12,bium of a sycamore that swallowed up the crossbar of an old schwinn some­
one left leaning against it decades ago. Two elms that draped their arms,12,one left leaning against it decades ago. two elms that draped their arms
around each other and became one tree.,12,around each other and became one tree.
"   ""We know so little about how trees grow. Almost nothing about how",12,"   ""we know so little about how trees grow. almost nothing about how"
they bloom and branch and shed and heal themselves. We've learned a little,12,they bloom and branch and shed and heal themselves. we've learned a little
"about a few of them, in isolation. But nothing is less isolated or more social",12,"about a few of them, in isolation. but nothing is less isolated or more social"
"than a tree.""",12,"than a tree."""
"   Her father is her water, air, earth, and sun. He teaches her how to see a",12,"   her father is her water, air, earth, and sun. he teaches her how to see a"
"tree, the living sheath of cells underneath every square inch of bark doing",12,"tree, the living sheath of cells underneath every square inch of bark doing"
things no man has yet figured out. He drives them to a copse of spared hard­,12,things no man has yet figured out. he drives them to a copse of spared hard­
"woods in the bottoms of a slow stream. ""Here! Look at this. Look at this!"" A",12,"woods in the bottoms of a slow stream. ""here! look at this. look at this!"" a"
"patch of narrow stalks, each with big, drooping leaves. A sheepdog of trees.",12,"patch of narrow stalks, each with big, drooping leaves. a sheepdog of trees."
"He makes her sniff the giant spoonlike foliage, crushed. It smells acrid, like",12,"he makes her sniff the giant spoonlike foliage, crushed. it smells acrid, like"
blacktop. He picks up a thick yellow pickle from the ground and holds it to,12,blacktop. he picks up a thick yellow pickle from the ground and holds it to
her. She has rarely seen him so excited. He takes his army knife and cuts,12,her. she has rarely seen him so excited. he takes his army knife and cuts
"the fruit in half, exposing the buttery pulp and shiny black seeds. The flesh",12,"the fruit in half, exposing the buttery pulp and shiny black seeds. the flesh"
makes her want to scream with pleasure. But her mouth is full of butterscotch,12,makes her want to scream with pleasure. but her mouth is full of butterscotch
pudding.,12,pudding.
"   ""Pawpaw! The only tropical fruit ever to escape the tropics. Biggest,",12,"   ""pawpaw! the only tropical fruit ever to escape the tropics. biggest,"
"best, weirdest, wildest native fruit this continent ever made. Growing native,",12,"best, weirdest, wildest native fruit this continent ever made. growing native,"
"right here in Ohio. And nobody knows!""",12,"right here in ohio. and nobody knows!"""
   They know. The girl and her father. She'll never tell anyone the location,12,   they know. the girl and her father. she'll never tell anyone the location
"of this patch. It will be theirs alone, fall after prairie-banana fall.",12,"of this patch. it will be theirs alone, fall after prairie-banana fall."
"   Watching the man, hard-of-hearing, hard-of-speech Patty learns that",12,"   watching the man, hard-of-hearing, hard-of-speech patty learns that"
real joy consists of knowing that human wisdom counts less than the shim­,12,real joy consists of knowing that human wisdom counts less than the shim­
"mer of beeches in a breeze. As certain as weather coming from the west, the",12,"mer of beeches in a breeze. as certain as weather coming from the west, the"
things people know for sure will change. There is no knowing.for a fact. The,12,things people know for sure will change. there is no knowing.for a fact. the
only dependable things are humility and looking.,12,only dependable things are humility and looking.
   He finds her out in the backyard making birds from the twinned wings,12,   he finds her out in the backyard making birds from the twinned wings
,12,
                            116    • RICHARD POWERS,13,                            116    • richard powers
,13,
,13,
,13,
of maple samaras. An odd look comes over his face. He holds up one of the,13,of maple samaras. an odd look comes over his face. he holds up one of the
"seeds and points it toward the giant that shed it. ""Have you noticed how it",13,"seeds and points it toward the giant that shed it. ""have you noticed how it"
releases more seeds in updrafts than when the wind is blowing downward?,13,releases more seeds in updrafts than when the wind is blowing downward?
"Why is that?""",13,"why is that?"""
"    These questions are her favorite thing in the world. She thinks. ""Travels",13,"    these questions are her favorite thing in the world. she thinks. ""travels"
"farther?""",13,"farther?"""
"    He puts his finger to his nose. ""Bingo!"" He looks at the tree and frowns,",13,"    he puts his finger to his nose. ""bingo!"" he looks at the tree and frowns,"
"working through old puzzlements all over again. ""Where do you think all",13,"working through old puzzlements all over again. ""where do you think all"
"the wood comes from, to get from this little thing to that?""",13,"the wood comes from, to get from this little thing to that?"""
"    Wild guess. ""The dirt?""",13,"    wild guess. ""the dirt?"""
"    ""How could we find out?""",13,"    ""how could we find out?"""
    They design the experiment together. They put two hundred pounds of,13,    they design the experiment together. they put two hundred pounds of
soil in a wooden tub by the south face of the barn. Then they extract a three­,13,soil in a wooden tub by the south face of the barn. then they extract a three­
"angled beechnut from its cupule, weigh it, and push it into the loam.",13,"angled beechnut from its cupule, weigh it, and push it into the loam."
"    ""If you see a trunk carved full of letters, it's a beech. People can't help",13,"    ""if you see a trunk carved full of letters, it's a beech. people can't help"
writing all over that smooth gray surface. God love 'em. They want to watch,13,writing all over that smooth gray surface. god love 'em. they want to watch
"their lettered hearts growing bigger, year after year. Fond foyers, cruel as their",13,"their lettered hearts growing bigger, year after year. fond foyers, cruel as their"
"flame, cut in these trees their mistress' name. Little, alas, they know or heed how",13,"flame, cut in these trees their mistress' name. little, alas, they know or heed how"
"far these beauties hers exceed!""",13,"far these beauties hers exceed!"""
"    He tells her how the word beech becomes the word book, in language after",13,"    he tells her how the word beech becomes the word book, in language after"
"language. How book branched up out of beech roots, way back in the parent",13,"language. how book branched up out of beech roots, way back in the parent"
tongue. How beech bark played host to the earliest Sanskrit letters. Patty,13,tongue. how beech bark played host to the earliest sanskrit letters. patty
pictures their tiny seed growing up to be covered with words. But where will,13,pictures their tiny seed growing up to be covered with words. but where will
the mass of such a massive book come from?,13,the mass of such a massive book come from?
"    ""We'll keep the tub moist and free of weeds for the next six years. When",13,"    ""we'll keep the tub moist and free of weeds for the next six years. when"
"you turn sweet sixteen, we'll weigh the tree and the soil again.""",13,"you turn sweet sixteen, we'll weigh the tree and the soil again."""
"    She hears him, and understands. This is science, and worth a million",13,"    she hears him, and understands. this is science, and worth a million"
times more than anything any person might ever swear to you.,13,times more than anything any person might ever swear to you.
,13,
,13,
,13,
"IN TIME, she gets almost as good as her father at telling what's wilting or",13,"in time, she gets almost as good as her father at telling what's wilting or"
"gnawing on a farmer's crops. He stops quizzing her and starts consulting,",13,"gnawing on a farmer's crops. he stops quizzing her and starts consulting,"
,13,
                             THE OVERSTORY •     II7,14,                             the overstory •     ii7
,14,
,14,
,14,
"not in front of the farmers, of course, but later, back in the car, when they",14,"not in front of the farmers, of course, but later, back in the car, when they"
have the luxury of thinking through the infestations as a team.,14,have the luxury of thinking through the infestations as a team.
"   On her fourteenth birthday, he gives her a bowdlerized translation of",14,"   on her fourteenth birthday, he gives her a bowdlerized translation of"
"Ovid's Metamorphosis. It's inscribed: For my dear daughter, who knows how big",14,"ovid's metamorphosis. it's inscribed: for my dear daughter, who knows how big"
and wide the family tree really is. Patricia opens the book to the first sentence,14,and wide the family tree really is. patricia opens the book to the first sentence
and reads:,14,and reads:
,14,
"      Let me sing to you now, about how people turn into other things.",14,"      let me sing to you now, about how people turn into other things."
,14,
,14,
"   At those words, she's back where acorns are a step away from faces and",14,"   at those words, she's back where acorns are a step away from faces and"
pine cones compose the bodies of angels. She reads the book. The stories,14,pine cones compose the bodies of angels. she reads the book. the stories
"are odd and fluid, as old as humankind. They're somehow familiar, as if",14,"are odd and fluid, as old as humankind. they're somehow familiar, as if"
she were born knowing them. The fables seem to be less about people turn­,14,she were born knowing them. the fables seem to be less about people turn­
ing into other living things than about other living things somehow reab­,14,ing into other living things than about other living things somehow reab­
"sorbing, at the moment of greatest danger, the wildness inside people that",14,"sorbing, at the moment of greatest danger, the wildness inside people that"
never really went away. By now Patricia's body is well along its own tortured,14,never really went away. by now patricia's body is well along its own tortured
metamorphosis into something she in no way wants. The new flare to her,14,metamorphosis into something she in no way wants. the new flare to her
"chest and hips, the start of a patch between her legs turns her, too, halfway",14,"chest and hips, the start of a patch between her legs turns her, too, halfway"
into a more ancient beast.,14,into a more ancient beast.
"   She loves best the stories where people change into trees. Daphne, trans­",14,"   she loves best the stories where people change into trees. daphne, trans­"
formed into a bay laurel just before Apollo can catch and harm her. The,14,formed into a bay laurel just before apollo can catch and harm her. the
"women killers of Orpheus, held fast by the earth, watching their toes turn",14,"women killers of orpheus, held fast by the earth, watching their toes turn"
into roots and their legs into woody trunks. She reads of the boy Cyparis­,14,into roots and their legs into woody trunks. she reads of the boy cyparis­
"sus, whom Apollo converts into a cypress so that he might grieve forever",14,"sus, whom apollo converts into a cypress so that he might grieve forever"
"for his slain pet deer. The girl turns beet-, cherry-, apple-red at the story of",14,"for his slain pet deer. the girl turns beet-, cherry-, apple-red at the story of"
"Myrrha, changed into a myrtle after creeping into her father's bed. And she",14,"myrrha, changed into a myrtle after creeping into her father's bed. and she"
"cries at that steadfast couple, Baucis and Philemon, spending the centuries",14,"cries at that steadfast couple, baucis and philemon, spending the centuries"
"together as oak and linden, their reward for taking in strangers who turned",14,"together as oak and linden, their reward for taking in strangers who turned"
out to be gods.,14,out to be gods.
"   Her fifteenth autumn comes. The days shorten. Night falls early, signal­",14,"   her fifteenth autumn comes. the days shorten. night falls early, signal­"
"ing the trees to drop their sugar-making project, shed all vulnerable parts,",14,"ing the trees to drop their sugar-making project, shed all vulnerable parts,"
and harden up. Sap falls. Cells become permeable. Water flows out of the,14,and harden up. sap falls. cells become permeable. water flows out of the
,14,
                           I 18   • RICHARD POWERS,15,                           i 18   • richard powers
,15,
,15,
,15,
trunks and concentrates into anti-freeze. The dormant life just below the,15,trunks and concentrates into anti-freeze. the dormant life just below the
bark is lined with water so pure that nothing is left to help it crystallize.,15,bark is lined with water so pure that nothing is left to help it crystallize.
"    Her father explains how the trick is done. ""Think about it! They've fig­",15,"    her father explains how the trick is done. ""think about it! they've fig­"
"ured out how to live trapped in place, with no other protection, whipped by",15,"ured out how to live trapped in place, with no other protection, whipped by"
"winds at thirty below zero.""",15,"winds at thirty below zero."""
"    Later that winter, Bill Westerford is coming home from a field trip after",15,"    later that winter, bill westerford is coming home from a field trip after"
sundown when the Packard hits a patch of black ice. He's thrown from the,15,sundown when the packard hits a patch of black ice. he's thrown from the
car as it flips off the road into a ditch. His body flies for twenty-five feet,15,car as it flips off the road into a ditch. his body flies for twenty-five feet
before crashing into a row of Osage orange that farmers planted for a hedge,15,before crashing into a row of osage orange that farmers planted for a hedge
a century and a half earlier.,15,a century and a half earlier.
"   At the funeral, Patty reads from Ovid. The promotion ofBaucis and Phi­",15,"   at the funeral, patty reads from ovid. the promotion ofbaucis and phi­"
lemon to trees. Her brothers think she has lost her mind with grief.,15,lemon to trees. her brothers think she has lost her mind with grief.
    She won't let her mother throw anything out. She keeps his walking stick,15,    she won't let her mother throw anything out. she keeps his walking stick
and porkpie hat in a kind of shrine. She preserves his precious library-Aldo,15,and porkpie hat in a kind of shrine. she preserves his precious library-aldo
"Leopold, John Muir, his botany texts, the Ag Extension pamphlets he helped",15,"leopold, john muir, his botany texts, the ag extension pamphlets he helped"
"to write. She finds his copy of adult Ovid, marked all over, as people mark",15,"to write. she finds his copy of adult ovid, marked all over, as people mark"
"beeches. The underscores start, triple, on the very first line: Let me sing to",15,"beeches. the underscores start, triple, on the very first line: let me sing to"
"you now, about how people turn into other things.",15,"you now, about how people turn into other things."
,15,
,15,
,15,
"HIGH s c Hoo L tries to kill her. Viola in the orchestra, the maple howl­",15,"high s c hoo l tries to kill her. viola in the orchestra, the maple howl­"
"ing with old hillside memories, under her chin. Photography and volleyball.",15,"ing with old hillside memories, under her chin. photography and volleyball."
"She has two almost-friends who understand the reality of animals, at least,",15,"she has two almost-friends who understand the reality of animals, at least,"
"if not quite plants. She shuns all jewelry, dresses in flannel and denim, car­",15,"if not quite plants. she shuns all jewelry, dresses in flannel and denim, car­"
"ries a Swiss Army knife, and wears her long hair wrapped around her skull",15,"ries a swiss army knife, and wears her long hair wrapped around her skull"
in braids.,15,in braids.
"   A stepfather arrives, one who's smart enough not to try to reform her.",15,"   a stepfather arrives, one who's smart enough not to try to reform her."
There's a trauma involving a quiet boy who dreams for two years of taking,15,there's a trauma involving a quiet boy who dreams for two years of taking
"her to the senior prom, a boy whose dream must die from a white-oak stake",15,"her to the senior prom, a boy whose dream must die from a white-oak stake"
through the heart.,15,through the heart.
"    In the summer of her eighteenth year, preparing to head to Eastern Ken­",15,"    in the summer of her eighteenth year, preparing to head to eastern ken­"
"tucky to study botany, she remembers the beech growing in its tub of soil,",15,"tucky to study botany, she remembers the beech growing in its tub of soil,"
out by the barn. Shame rushes through her: How could she have forgot-,15,out by the barn. shame rushes through her: how could she have forgot-
,15,
                           THE OVERSTORY     •    119,16,                           the overstory     •    119
,16,
,16,
,16,
ten the experiment? She has missed her promise to her father by two years.,16,ten the experiment? she has missed her promise to her father by two years.
Skipped sweet sixteen altogether.,16,skipped sweet sixteen altogether.
   She spends an entire July afternoon freeing the tree from the soil and,16,   she spends an entire july afternoon freeing the tree from the soil and
crumbling every thimble of dirt from its roots. Then she weighs both the,16,crumbling every thimble of dirt from its roots. then she weighs both the
plant and the earth it fed on. The fraction of an ounce of beechnut now,16,plant and the earth it fed on. the fraction of an ounce of beechnut now
"weighs more than she does. But the soil weighs just what it did, minus an",16,"weighs more than she does. but the soil weighs just what it did, minus an"
ounce or two. There's no other explanation: almost all the tree's mass has,16,ounce or two. there's no other explanation: almost all the tree's mass has
"come from the very air. Her father knew this. Now she does, too.",16,"come from the very air. her father knew this. now she does, too."
   She replants their experiment in a spot behind the house where she and,16,   she replants their experiment in a spot behind the house where she and
her father liked to sit on summer nights and listen to what other people called,16,her father liked to sit on summer nights and listen to what other people called
"silence. She remembers what he told her about the species. People, God love",16,"silence. she remembers what he told her about the species. people, god love"
"'em, must write all over beeches. But some people-some fathers-are writ­",16,"'em, must write all over beeches. but some people-some fathers-are writ­"
ten all over by trees.,16,ten all over by trees.
"   Before she goes away to school, she puts the tiniest notch in the smooth",16,"   before she goes away to school, she puts the tiniest notch in the smooth"
"gray booklike bark of the trunk with her army knife, four feet above",16,"gray booklike bark of the trunk with her army knife, four feet above"
the ground.,16,the ground.
,16,
,16,
,16,
EASTERN KENTUCKY UNIVERSITY                      turns her into someone else.,16,eastern kentucky university                      turns her into someone else.
Patricia blooms like something southern-facing. The air of the sixties crack­,16,patricia blooms like something southern-facing. the air of the sixties crack­
"les as she crosses campus, a change in the weather, the smell of days length­",16,"les as she crosses campus, a change in the weather, the smell of days length­"
"ening, the scent of possibility breaking the cast of outdated thought, a clear",16,"ening, the scent of possibility breaking the cast of outdated thought, a clear"
wind rolling down from the hills.,16,wind rolling down from the hills.
   Her dorm room overflows with potted plants. She's not the only one on,16,   her dorm room overflows with potted plants. she's not the only one on
her floor to fit a botanical garden between the student desk and bunk bed.,16,her floor to fit a botanical garden between the student desk and bunk bed.
But her plants are the only ones with strips of data taped to their terra-cotta,16,but her plants are the only ones with strips of data taped to their terra-cotta
"pots. Where her friends grow baby's breath and blue-eyed violets, she grows",16,"pots. where her friends grow baby's breath and blue-eyed violets, she grows"
"tickseed and partridge pea and other experiments. And yet, she also cares",16,"tickseed and partridge pea and other experiments. and yet, she also cares"
"for a bonsai juniper that looks to be a thousand years old, a spiky haiku of a",16,"for a bonsai juniper that looks to be a thousand years old, a spiky haiku of a"
creature with no scientific purpose whatsoever.,16,creature with no scientific purpose whatsoever.
   The girls from upstairs come down some nights to check on her. They've,16,   the girls from upstairs come down some nights to check on her. they've
made her into a pet project. Let's get Plant-Patty drunk. Let's fix Plant-Patty,16,made her into a pet project. let's get plant-patty drunk. let's fix plant-patty
up with that beatnik econ guy. They mock her studiousness and laugh at her,16,up with that beatnik econ guy. they mock her studiousness and laugh at her
,16,
                              120 • RICHARD POWERS,17,                              120 • richard powers
,17,
,17,
,17,
calling. They force her to listen to Elvis. They slip her into sleeveless sheaths,17,calling. they force her to listen to elvis. they slip her into sleeveless sheaths
and pile up her hair in a bouffant. They call her the Queen of Chlorophyll.,17,and pile up her hair in a bouffant. they call her the queen of chlorophyll.
"She's not of the herd. She doesn't always hear them well, and when she does,",17,"she's not of the herd. she doesn't always hear them well, and when she does,"
their words don't always make sense. And yet her frantic fellow mammals,17,their words don't always make sense. and yet her frantic fellow mammals
"do make her smile: miracles on all sides, and still they need compliments to",17,"do make her smile: miracles on all sides, and still they need compliments to"
keep them happy.,17,keep them happy.
"   Sophomore year, Patty gets a job in the campus greenhouses-two hours",17,"   sophomore year, patty gets a job in the campus greenhouses-two hours"
"stolen every morning before classes. Genetics, plant physiology, and organic",17,"stolen every morning before classes. genetics, plant physiology, and organic"
chemistry take her through evening. She studies every night at her carrel,17,chemistry take her through evening. she studies every night at her carrel
until the library closes. Then she reads for pleasure until she falls asleep.,17,until the library closes. then she reads for pleasure until she falls asleep.
"She does try the books her friends are reading: Siddhartha, Naked Lunch, On",17,"she does try the books her friends are reading: siddhartha, naked lunch, on"
"the Road. But nothing else moves her more than Peattie's Natural Histories,",17,"the road. but nothing else moves her more than peattie's natural histories,"
books from her father's shelves. Now they're her endless refreshment. Their,17,books from her father's shelves. now they're her endless refreshment. their
